word,count
#notmypresident,3
folks,35
none,3
desperately,6
#charlottesviille,18
spin,21
starters,5
definitely,9
#veryfakenews,5
twitter,45
company,6
presidenttrump,9
#media,13
absolute,9
hysteria,17
@ananavarro,21
lao,3
@joey_girardi,6
filthy,7
worth,57
#defenddaca,9
@holmesjosh,6
citizen,29
fucker,3
sat,3
spoke,6
#propaganda,15
pile-on,57
plank,9
@nuuzfeed,6
~,8
removed,19
b-t-f-o,3
obama,88
commies,12
ploy,5
lot,14
closed,7
@michellemalkin,9
shame,22
effed,3
#infowars,3
doubling,3
#nitecafe,3
@rednationrising,5
homework,3
tech,3
sticking,3
websites,3
obnoxious,8
demonstrably,3
@chaos2raptor,3
etc,124
@business,6
outlets,16
25,72
@timodc,3
associated,3
@ransoms_note,3
countries,8
grapefruits,3
deaf,23
you....you,3
teller,3
handle,44
@crueltyfreecat,3
easy,7
jenner's,3
@conservatives,3
devastating,57
disavowed,91
corporation,3
uk,3
services,3
cruelty,3
sun,9
focus,26
doubt,79
reporters,39
real,122
network,43
miss,75
dishonesty,5
getting,29
exposed,10
defenders,3
canada's,6
#mcga,12
@chelseaclinton,22
@theboxthatroxx,3
revolting,3
#cnnisfakenews,10
guilty,5
signature,3
outrage,13
proven,7
@lexicorona2,3
road,6
21st,9
biased,43
@jlptalk,3
(crybaby,3
#fuck,3
@magachimp,89
didn't,99
conf,3
wonderful,9
@joev1973,6
@mrsmalindo,3
money,28
@roydcooper2017,3
europe,11
walmart,6
loud,20
@melods1000,3
@era88,3
kevin,9
@alvedacking,3
#vaccineswork,22
hostile,3
#neverendingbbq,3
locations,18
@cnnbrk,17
time,87
sunday,6
#falseadvertising,3
preach,3
kicking,3
bannon,28
ad,46
@cpcrebellion,6
failure,13
cmon,6
@chickfila,5
explain,3
umm,3
honesty,9
@crtv,9
run,12
free,16
butt,52
terrorists,6
arrogant,6
sanity,70
@joy_villa,72
seriously,89
stream,15
#antivaxx,20
rag,9
hack,9
this...and,3
instead,227
robots,3
ok,38
@brendannyhan,6
hurt,48
quickly,103
global,5
represents,9
wing,9
#rino,3
him2stay,3
interview,12
mule,26
@jparrambide,3
#cnnsucks,6
@sheffcouncil,6
@baseballcrank,3
including,13
@leemarsden7,3
#donaldtrump,5
@bfraser747,5
#poyb,6
#presidenttrump,10
"10,000",9
busts,9
@brentbozell,3
intelligent,8
@chrislhayes,3
@lawrence,5
prez,3
missouri,3
republican,11
anti-hate,32
defends,3
@cassandrarules,14
scorched,38
dying,11
@juddlegum,3
@libertyusa1776,3
cover,56
@jimsciutto,7
account,7
leave,10
zinged,3
aka,5
soetoro,3
@_makada_,3
(@stephenfhayes,3
documentaries,18
#russiagate,11
lastly,18
dinesh,18
d'souza,18
movies,18
@nbcnightlynews,8
caused,22
soooo,3
que,3
answers,3
@rt_america,3
@anyaparampil,3
@walldo,6
posts,6
patriot,6
judah-mcgregor,3
response,60
talks,3
rock,3
@cernovich,12
credit,7
legend,3
integrity,5
@rogerwaters,3
movement,3
jumped,11
disguised,18
fox,137
payments,3
@mrzofty,3
happing,3
care,41
communist,14
result,9
@libfem,3
#republic,3
repeat,3
afraid,6
fought,9
@chuckwoolery,21
objective,5
nice,23
#fakenewsmedia,50
gd,6
sovereignty,3
trumptower,6
delicious,9
bottom,8
evidence,7
hitting,6
@kfile,5
bless,6
complicated,3
investigated,6
rep,6
crowley,6
disgraceful,101
keeping,3
cllr,3
@rafsanchez,6
leader,20
annihilated,3
@sheffieldukip,3
@realeaglebites,16
grandmother,6
@deplorican,3
save,3
is-,3
stupidity,3
@bennyjohnson,3
@sandraopines,38
children,22
distorting,3
@will_c_fischer,6
mein,3
kampf,3
issued,3
pls,11
pedophile/,9
@calidhd,9
avoid,49
tweeting,8
delete,7
dreamers,3
lincoln,5
blm,135
@seamuston80,9
#subversive,3
(at,6
journalist,27
nbc,5
broadcast,8
pissing,9
"8,847",3
help,15
@tomcraze,3
#nicetry,3
@kchenette,3
jack,6
#lyingnews,3
division,11
mail,5
@housedemocrats,6
poll,21
supporters,24
ship,9
@underarmour,9
damage,6
ashley,3
condemns,10
world,18
refuses,48
russians,13
#durham,6
house,18
@karennaide,3
@philip_elliott,3
@bov1ce,3
narrative,60
trafficking,9
defend,14
kept,5
sinking,3
check,11
#cnnblackmail,3
#unitedstates,3
titanic,3
label,5
@ellinude,3
@cillizzacnn,5
@kristindonnelly,8
#alexjones,5
@kierstongotagun,3
let's,15
99%,5
@donlemon,11
ad--again,9
loved,5
explained,3
agree/disagree,3
party,13
praise,3
bizarre,3
@thom2945,3
@daysoftrump,9
breed,3
everyday,3
fanned,12
tells,14
@millennial_matt,6
controlled,6
channel,10
coverage,17
typical,5
wonder,18
@cnni,5
barry,3
stating,6
attacking,14
#deepstate,85
sex,9
victim's,13
chaotic,3
chop,12
ex-con,18
#dtmag,3
somehow,5
@barackobama,8
bigoted,3
@gqforbes4,3
#cnnfakenews,8
cartoon,20
popular,9
train,53
right-wing,18
squashed,9
spinning,5
condemned,15
leftist-marxist,3
finish,3
happened,48
w/obama,3
@fight4truthnow,3
@leslie_h20,3
@subschneider,3
correct,16
mush,9
pressers,6
date,3
buttslam,3
corners,3
preparation,3
#theresistance,3
stuff,12
bait,3
@truth4trump2016,9
@h_alexander,3
#antifaterroristorganization,3
lewandowski,5
@carlbernstein,8
disgusting,45
#blmterroristorganization,3
censors,11
fair,25
watched,31
stand,39
broadcasts,5
@trueeo,3
@repjoecrowley,6
amount,5
paper,3
country,44
directly,72
@richl562,3
@davidchalian,17
meet,5
@darrenkaplan,3
@allahpundit,5
political,14
view,3
solidarity,6
heat,9
agenda,24
started,8
coin,3
england,3
@postpolitics,3
office,35
@saracarterdc,3
sara,3
gorka,3
@heidiprzybyla,3
strange,3
sell,5
bout,5
credentials,5
distorts,13
thinking,11
damn,17
hearing,5
night,10
#whitelivesmatter,15
mother's,13
@maxinerunner,3
#climatechangehoax,15
@drscott_atlanta,43
appropriate,3
#icouldlivewithout,3
@lorencehud,3
cu-17-6809,3
#trudeau,3
@nectar,3
@johnbnyc,3
@mfs2k2,3
@nypost,3
@ny,3
huffpo,3
hahahahaha,3
crownmunicipalityofwestnipissing,3
cult,6
chelsea,5
presidency,6
@loveusadawn,3
@pepesgrandma,3
#farleft,3
brawling,26
@swampcleaners,3
continue,60
#anericahaters,3
@charleshurt,3
#dimms,6
#trumppresser,6
public,81
trash,9
@dwsjca,3
looking,7
@dineshdsouza,9
sonofab**ch,3
(__(__)es,9
bloody,6
vs,119
standing,10
@tvietor08,6
google,21
abt,12
@jlrice0622,3
@kctv5,3
x100,3
#hendos,3
@vetapologist,3
losing,6
giving,10
tolerance,3
frauds...they,3
nationalists,22
@reversingasd,6
@mikedsykes,3
ted,9
post,22
"people!""#fakenews",42
w/,155
radical,59
daily,17
#unhinged,3
indeed,15
sponsors,6
#lunatic,3
@shefflibdems,3
alternative,7
awesome,35
read,25
#alternativefacts,299
"this,the",29
friday,3
@deniernyc,3
beat,39
bigger,10
info,7
@scottmgreer,3
@wellingmichael,3
chaos,3
added,3
@kaitlinkoykar,12
thanked,29
regime,5
employees,3
1/16th,3
#cherokee,3
confederates,6
#iamnothingbutatool,3
slaves,12
absurd,15
@cbcnews,3
rights,3
protest&amp;the,3
wish,8
probably,10
establishment,111
debate,3
aren't,22
@__boaz__,3
@wkyc,3
#racist,10
helping,8
@childlikefaaith,19
spread,22
@americanbobs,3
yeah,10
wuss,8
team,6
dead,9
@eddietonymac,3
peaceful,6
hoo!he,15
angry,18
@secondiusacct,6
dead-end,3
#nazi,7
libs,67
--now,3
destroyed,5
rented,26
else,20
exclusive,3
#bds,3
@huffpostpol,3
brain,10
&amp;the,3
prz,3
+,9
flush,3
@karenyporter,3
@123jerryv123,3
amen,9
elitist,3
relentlessly,3
@eddiecarl4468,6
steve,5
lawyer,8
@blaircottrell89,3
seen,24
@jrcheneyjohn,85
school,3
mother,52
fire,11
outcome,3
@anon6_nvrforget,3
serve,46
mcgregor,3
#firstamendment,3
#stupidpresident,3
@katxarielle,3
100%,26
bravo,6
representatives,3
@gijoeops,45
#republican,3
#conservative,3
flapjaws,3
cruz,6
@pattonoswalt,6
dealing,21
something...got,3
setting,3
infinite,3
abuse,3
@mmassalas,3
traitors,3
ideas,3
briefing,3
#asshole,3
docs,69
disreputable,21
visit,20
#funny,18
victim,33
sack,3
horses**t,3
resign,3
met,3
otherwise,3
appearing,3
@alyssa_c_coon,3
own,23
promoted,20
fanatical,6
manafort,69
@julissaarce,3
usual,13
vote,29
@gop,21
near,3
describing,17
hit,28
retweets,6
covfefe,3
@hgetson,3
reporter...lol,3
@finneyk,3
supporter,16
byrd,5
tell,50
nfl,3
captain,3
counter-protesters,3
@mailonline,3
#nectar,3
#fakenewscnn,24
disappointed,3
claim,32
"term""altright""to",3
lump,3
w/whitesuprmsts(who,3
reallyleft,3
reality,117
@luv18wheels,3
destroy,17
personal,9
mention,14
handed,11
@jeffereyjaxen,3
#russiancollusion,7
[see,3
#nvicp],3
congressmen,6
wasn't,10
@beermantom,9
--,8
update:statement,3
straight,33
@jackposobiec,38
ontariosuperiorcourt,3
@anewthomaspaine,17
#democrat,7
@emilywcvb,3
@wcvb,3
heard,32
@trump4nc,3
thomas,3
fault,35
mongering,3
win,58
@newsthissecond,3
@evolvepolitics,3
opposition,3
level,6
#periscope,3
@project_veritas,26
#jokes,18
parades,3
neo-con,3
legitimate,3
conservative,3
shot,11
filed,5
created,9
hav,3
cronies,3
u'ld,3
truer,3
dsouza,3
@berniesanders,6
bother,45
@davidconklin74,3
unwittingly,3
@9ersorbust,9
accept,3
national,9
impressed,6
@miamiherald,3
didnt,3
shared,3
answer,6
em,14
fail,5
fear,17
@saltytusk,18
@joe012594,3
|,25
mindless,3
lead,16
reached,3
freaking,3
@tatobin2,3
believes,10
documented,3
200+,3
unlike,9
@doctorwerner44,18
2please,42
#humor,18
senator,5
stories,23
mind,10
literally,18
absolutely,30
yemen,3
@zekejmiller,3
program,3
nailing,3
@edatpost,3
ole,3
unnamed,3
@cowboycraig8922,6
worse,14
phony,13
media's,7
organizes,3
die,3
maybe,16
@existentialfish,3
cholera,3
#lies,14
cognitive,3
science,3
delighted,3
@stworg,3
speak,5
@faredavandekaap,6
#graceisadisgrace,6
loot,3
#45,3
tried,10
@agjeffbsessions,3
argue,5
weren't,5
desire,3
contempt,6
set,20
@romaa13,3
@davidmackau,3
bashes,3
#othugma,3
@hale4jesus,3
#georgewashington,5
@trish_regan,3
@danielduerst,15
pay,9
soros,5
attention,7
100s,6
videos,15
@shepnewsteam,5
planet,6
@njdotcom,3
scorecard,3
#stinkatorial,3
*jaw,3
drops*,3
tape,5
sounds,10
mayne,3
friggin,3
twisted,7
father,15
puppet,5
hatred,8
history,21
#makeamericagreatagain,5
jeopardy,3
yall,3
bomb,7
isis,7
ride,3
missile,3
playing,8
existence,3
looks,11
#presstitutes,3
#rinos,3
excoriated,3
@vp,7
@tonykatz,3
goes,14
earth,3
starving,3
socialism,3
quiet,6
@malenachastain7,3
article,10
blown,3
push,9
#imwithher,3
#stillwithher,3
#truth,10
islam,18
@shsanders45,6
trapper,3
nuts,3
bleeding,3
#mediabias,12
#pressconference,9
#nobalance,3
faking,3
training,3
live,21
landslide,3
shutting,6
@bradcrain,115
@murd73,3
fuckin,3
@mikenumber5,3
happen,7
#ass,3
#booty,3
depressing,3
unfiltered,3
evil,21
threatened,3
expresses,3
concern,3
technically,8
rule,5
@jedyork,3
#brickbybrick,3
loses,3
funny,3
sherman,3
manhattan,3
feet,6
@proftomquinn,3
dr,5
alveeda,3
bleed,3
#hannity,8
@thomas1774paine,9
@funder,5
seekers,8
wwii,5
@jackbmontgomery,8
chechen,8
@gabriellahope_,3
epidemic,3
#freepress,3
parking,15
@jnovak_yemen,3
reporterette,3
pics,3
irony,3
kaczynski,3
cheap,3
wrestling,3
id,3
doxx,6
@paperplatemask3,3
@postroz,3
@thamburger,3
@carolleonnig,3
born,6
shocked,3
@communicateconf,3
year's,3
@enca,6
#fikilembalula,6
@ajenglish,3
democraticparty,3
@unclesamschild,10
=,11
thugs,372
"facts""donald",12
subtle,8
direct,6
@fbi,3
asylum,8
@italians4trump,10
racism.are,3
@peterwsinger,3
ain't,5
@politicalmelody,3
@mmpadellan,3
@macnab63,3
farts,3
@jenwoodruff79,3
washington/jefferson,3
drowns,3
committed,9
@tmz,3
drop,3
#bestpresidentever,3
energy,3
@nymike2,3
@heatherunruh,3
charging,6
highly,3
doubt...#fakenews,3
plant,5
stealing,3
@realsaavedra,3
finally,60
rant,5
coming,21
wtp,6
following,9
jake,3
reasons,9
@billoreilly,3
#exposed,15
lovers,3
bots,5
admit,3
missed,7
jax,3
espouses,15
presser,465
trolls,6
@mediaman2009,6
divide,10
remember,13
@fibarda,6
@mscaptain2u,3
reminds,6
@brianstelter,15
handling,3
@paulkrugman,3
clips,3
@anncoulter,29
@mrntweet2,9
reports,14
@foxbusiness,27
forget,5
obummer,3
arent,3
nyt's,3
boss,13
gone,6
counting,18
wtf,5
course,13
@k_jeanpierre,15
duranty,3
meh,3
ap,3
offensive,3
pc,8
creating,3
ones,9
@tkox87,3
source,13
guts,15
minds,6
cease-fire..he,3
blood'...'racism,3
@bane1349,3
@brianzebeaune,3
tyranni,3
gonna,5
#msmsucks,5
#radicalleftterrorism,15
omission,3
@time,3
torn,3
noting,3
us/saudi,3
rise,3
playbook,3
@nach9636,3
fascists,3
walking,3
@sarasidnercnn,9
fooled,28
fools,3
#confederate,12
auschwitz,3
#butcanyoutell,3
cuts,18
#trumpski,3
#trumptower,3
hurting,6
meant,3
#trump2020,10
(@potus,9
incredible,6
@whiteisthefury,3
rethink,8
swim,3
script,3
flip,11
spew,9
@politicalant,6
worst,9
poverty,3
pm,7
netanyahu,7
haters,37
#real,11
conspiracy,10
sudden,3
bias,14
@1dustindavis,3
spare,3
bc,26
ready,5
@bagofcats1,3
@y_soup,3
moab,3
#freakingutes,3
sounding,3
@erictrump,3
exposing,3
amigos!!#destroyamerica,3
reads,3
waiting,3
flushed,3
#rightwingnonsense,3
@brittpettibone,3
@yahoonews,6
gender,3
@thesquoosh,6
theory,6
parents,6
#clearandpresentdanger,9
#sethrich,9
proves,10
liars,15
globalist,14
@trumptrain45pac,47
dallas,7
andretti,6
john,13
voters,25
#draintheswamp,15
throwing,5
@torian_girl,23
@williegeist,3
class,6
mlk,9
rich,8
urstatement,3
include,5
tactics,5
andthisiswhy,3
weknow,3
youdon'tunderstand,3
@chriscuomo,5
thisissue&amp;that,3
meansnothing,3
david,30
sound,5
share,10
silent,8
officer,5
round,9
@pmnewsnigeria,3
@cisco_utahute,3
@patodonald80,3
@utahpigbus,3
grows,3
deny,3
@slavcams,3
18,8
cbo,3
figment,3
censoring,3
#recievebrain,3
assholes,8
#americafirst,7
#defendeurope,9
@classicpopulist,3
